Type,ID,Description
Word,w1,Anxiety
Word,w2,Race
Word,w3,Men
Word,w4,Discomfort
Word,w5,Sensitivity
Word,w6,Thermography
Word,w7,Benefits
Word,w8,Bias
Word,w9,Harms
Word,w10,Overdiagnosis
Word,w11,Ultrasonography
Word,w12,Background
Word,w13,Analysis: Follow-up
Word,w14,Special Populations
Word,w15,Elderly women
Word,w16,Breast Self-examination
Word,w17,Contamination: None
Word,w18,Interval cancers
Word,w19,Facility Characteristics
Word,w20,Radiation Exposure
Word,w21,Analysis: Evaluation
Word,w22,International Comparisons
Word,w23,Tumor Characteristics
Word,w24,Young women
Word,w25,Patient Characteristics
Word,w26,Physician Characteristics
Word,w27,Digital Mammography
Phrase,p1,Mammography and CAD
Phrase,p2,Magnetic Resonance Imaging
Phrase,p3,Compliance: 89% participation
Phrase,p4,Control: Usual care
Phrase,p5,External audit: None
Phrase,p6,Screening With Mammography
Phrase,p7,Compliance: 61% screened
Phrase,p8,Compliance: 89% screened
Phrase,p9,Randomized controlled trials
Phrase,p10,Compliance: 82% screened
Phrase,p11,Consistency : Fair
Phrase,p12,Summary of RCTs
Phrase,p13,Dense breast tissue
Phrase,p14,External audit: No
Phrase,p15,Prior radiation therapy
Phrase,p16,Clinical Breast Examination
Phrase,p17,Benefit of Mammography
Phrase,p18,BCSC Web site
Phrase,p19,Control: Annual CBE
Phrase,p20,Exclusions: Inconsistently reported
Phrase,p21,External audit: Yes
Phrase,p22,Mammography—Variables Associated with Accuracy
Phrase,p23,Follow-up duration: 12 years
Phrase,p24,External Validity : Poor
Phrase,p25,Follow-up duration: 8 years
Phrase,p26,Breast Cancer Screening Modalities—Mammography
Phrase,p27,Consistency of reports: Good
Phrase,p28,Ductal Carcinoma In Situ
Phrase,p29,Consistency of reports: Variable
Phrase,p30,Current Age (in Years)
Phrase,p31,Follow-up duration: 18 years
Phrase,p32,Evaluation of Breast Symptoms
Phrase,p33,Breast Cancer (PDQ®): Screening
Phrase,p34,Breast Cancer Surveillance Consortium
Phrase,p35,Specificity and false-positive rate
Phrase,p36,Description of the Evidence
Phrase,p37,Breast Cancer Screening Concepts
Phrase,p38,Internal Validity : Good
Phrase,p39,Follow-up duration: 10 years
Phrase,p40,Mammography Description and Background
Phrase,p41,Follow-up duration: 13 years
Phrase,p42,Harms of Screening Mammography
Phrase,p43,Follow-up duration: 10.7 years
Phrase,p44,Personal history of breast cancer
Phrase,p45,Comments: Randomization process was flawed
Phrase,p46,Breast cancer incidence and mortality
Phrase,p47,Seventeen studies met inclusion criteria
Phrase,p48,Appendix of Randomized Controlled Trials
Phrase,p49,"Exclusions: Few, balanced between groups"
Phrase,p50,Effectiveness of Population-Based Screening Programs
Phrase,p51,Randomization: Individual volunteer (see NBSS-1)
Phrase,p52,Breast Cancer Screening Modalities—Beyond Mammography
Phrase,p53,Follow-up duration: 12 to14 years
Phrase,p54,Women with limited life expectancy
Phrase,p55,Study design : Descriptive population-based
Phrase,p56,Adapted from Altekruse et al
Phrase,p57,Breast Cancer Diagnosis and Pathology
Phrase,p58,Assessment of Performance and Accuracy
Phrase,p59,Risk Factors for Breast Cancer
Phrase,p60,Risk in Next 10 Years
Phrase,p61,Study Design : Two RCTs
Phrase,p62,Pathologic Diagnosis of Breast Cancer
Phrase,p63,Breast Cancer Treatment and Pregnancy
Phrase,p64,Randomization: Cluster by birth date
Phrase,p65,Control: MMG at year 5
Phrase,p66,Consistency of reports: Not applicable
Phrase,p67,Medullary carcinomas may be similarly missed
Phrase,p68,Magnitude of Effect : No effect
Phrase,p69,Consistency and External Validity : Poor
Phrase,p70,"Single-read first three rounds, then double-read"
Phrase,p71,Women who have received thoracic radiation
Phrase,p72,False-Positives Leading to Possible Additional Interventions
Phrase,p73,Other research on BSE is limited
Phrase,p74,Internal Validity and Consistency : Fair
Phrase,p75,Contamination: 26.4% in usual care group
Phrase,p76,Such results have not been observed
Phrase,p77,Intervention: Annual two-view MMG and CBE
Phrase,p78,Several CAD systems are in use
Phrase,p79,Positioning of the woman is important
Phrase,p80,Analysis: Both evaluation and follow-up methods
Phrase,p81,Age at entry: 45 to 64 years
Phrase,p82,Contamination: 16.9% of the CBE only group
Phrase,p83,The Swedish meta-analysis resolved these questions appropriately
Phrase,p84,Breast Cancer Surveillance Consortium (BCSC) Web site
Phrase,p85,Age at entry: 39 to 59 years
Phrase,p86,Lifetime Risk of a Breast Cancer Diagnosis
Phrase,p87,Age at entry: 50 to 59 years
Phrase,p88,Age at entry: 45 to 69 years
Phrase,p89,Age at entry: 40 to 64 years
Phrase,p90,"Sample size: 23,226 study and 21,904 control"
Phrase,p91,Age at entry: 39 to 41 years
Phrase,p92,"Sample size: 21,088 study and 21,195 control"
Phrase,p93,"Study Design : Two RCTs, cohort studies"
Phrase,p94,Linked to Swedish Cause of Death Registry
Phrase,p95,Characteristics of Cancers Detected by Screening Mammography
Phrase,p96,Other risk factors and risk prediction models
Phrase,p97,Age at entry: 40 to 74 years
Phrase,p98,DCIS is most often diagnosed by mammography
Phrase,p99,"Mammography screening rates, however, were generally low"
Phrase,p100,Treatment of these cancers would constitute overtreatment
Phrase,p101,Table 1. Risk of Breast Cancer Diagnosis
Phrase,p102,One Sv is equivalent to 200 mammograms
Phrase,p103,Age at entry: 40 to 49 years
Phrase,p104,Cause of death attribution: Cancer Registry Data
Phrase,p105,Individuals With Little to Gain from Screening
Sentence,s1,Follow-up analysis as part of the Swedish meta-analysis
Sentence,s2,Consistency of reports: No variation in patient numbers
Sentence,s3,The optimal interval between screening mammograms is unknown
Sentence,s4,Neither group received any other breast cancer screening
Sentence,s5,"Control: Usual care, with MMG at study end"
Sentence,s6,"Independent, with analysis of data by several reviewers"
Sentence,s7,Mammography utilizes ionizing radiation to image breast tissue
Sentence,s8,Similar studies of Hispanic populations have been conducted
Sentence,s9,"Follow-up analysis, as part of the Swedish meta-analysis"
Sentence,s10,"Overall, only approximately 1% died of breast cancer"
Sentence,s11,Consistency of reports: Variation in sample size reports
Sentence,s12,"Study Design : Single RCT, population cohort studies"
Sentence,s13,Independent with analysis of data by several reviewers
Sentence,s14,"Tissue Sampling (Fine-Needle Aspiration, Nipple Aspirate, Ductal Lavage)"
Sentence,s15,False-Negatives Leading to Possible False Sense of Security
Sentence,s16,The process for randomization has not been described
Sentence,s17,Intervention: Single-view MMG every 28 months × 2
Sentence,s18,The meta-analysis found no other differences by age
Sentence,s19,"Sample size: 160,921 (53,884 invited; 106,956 not invited)"
Sentence,s20,Approximately 1% of all breast cancers occur in men
Sentence,s21,"Thus, the PPV for an abnormal mammogram was 8%"
Sentence,s22,"Compliance: Initially 100%, decreased to 85.5% by screen five"
Sentence,s23,"Sample size: Most recent publication: 21,650 invited; 29,961 control"
Sentence,s24,"Regarding criticisms and comments about this trial, see NBSS-1"
Sentence,s25,Screening by CBE may lead to the following harms:
Sentence,s26,Prevalent Versus Subsequent Examination and the Interval Between Exams
Sentence,s27,Follow-up duration: 11 to 16 years (mean 13 years)
Sentence,s28,There is no ionizing radiation exposure with this procedure
Sentence,s29,The optimal screening interval has been addressed by modelers
Sentence,s30,The incidence of breast cancer increases with a woman's age
Sentence,s31,"For women older than 70 years, the PPV was 14%"
Sentence,s32,"Also linked with the Canadian Mortality Data Base, Statistics Canada"
Sentence,s33,This summary also includes information about screening among special populations
Sentence,s34,(Refer to the Cancer Screening Summary Overview for more information.)
Sentence,s35,"Randomization: Individual volunteers, with names entered successively on allocation lists"
Sentence,s36,"Abnormal screening may trigger additional testing, with the attendant anxiety"
Sentence,s37,The groups were assembled without obvious bias but without randomization
Sentence,s38,Intervention: Two-view MMG every 18 to 24 months × 5
Sentence,s39,Intervention: Annual two-view mammography (MMG) and CBE for 3 years
Sentence,s40,"However, these exclusions were determined differently within the two groups"
Sentence,s41,Intervention: Annual two-view MMG and CBE for 4 to 5 years
Sentence,s42,"Such comparisons may be confounded by social, cultural, and economic factors"
Sentence,s43,Cause of death attribution: Linked to Swedish Cause of Death Registry
Sentence,s44,These women were dropped from all further consideration in the study
Sentence,s45,"Cancer was diagnosed in 6.2%, most often stage II or III"
Sentence,s46,"Conclusions: Not a statistically significant result, but fits with other studies"
Sentence,s47,"Analysis: Evaluation, initially. Follow-up analysis, as part of the Swedish meta-analysis"
Sentence,s48,Compliance: Participants migrating from Malmo (2% per year) were not followed
Sentence,s49,"Thus, a negative mammogram should never prevent work-up of breast symptoms"
Sentence,s50,Most late-stage breast cancer occurs in women not exposed to screening
Sentence,s51,Cause of death attribution: Determined by a team of local physicians
Sentence,s52,The whole-body environmental radiation dose is approximately 3 mSv per year
Sentence,s53,"Analysis: Evaluation initially, with correction for delay in control group MMG"
Sentence,s54,Cancer was diagnosed in 0.5% of the cases referred for additional testing
Sentence,s55,Some cancers are more easily detected by mammography than other cancers are
Sentence,s56,"Thus, women who are screened with MRI have more negative surgical biopsies"
Sentence,s57,Women younger than 50 years were twice as likely to seek evaluation
Sentence,s58,Low-income whites were more likely to have late-stage diagnosis than high-income whites
Sentence,s59,"Sample size: 19,711 study (100% screened after entry CBE) and 19,694 control"
Sentence,s60,"Recommendations for subsequent mammograms vary, but evidence for various strategies is scant"
Sentence,s61,"Other trials have been audited to varying degrees, usually with less rigor"
Sentence,s62,"Based on solid evidence, screening mammography may lead to the following benefit:"
Sentence,s63,Accuracy in the community setting might be lower than in the RCT
Sentence,s64,"Analysis: Evaluation, with 1-year delay in the posttrial MMG in control group"
Sentence,s65,(Refer to the PDQ summary on Breast Cancer Treatment for more information.)
Sentence,s66,One should remember that the intervention consisted of both MMG and CBE
Sentence,s67,Two international trials of CBE are under way in India and Egypt
Sentence,s68,(refer to the Special Populations section of this summary for more information)
Sentence,s69,Cause of death assessment blinded for women with a breast cancer diagnosis
Sentence,s70,"Sample size: 25,214 study (100% screened after entry CBE) and 25,216 control"
Sentence,s71,"All of the studies accounted for stage, nodal status, and tumor size"
Sentence,s72,"Treatment consists of surgery, radiation, and systemic adjuvant hormone therapy or chemotherapy"
Sentence,s73,The examination is performed by compressing the breast firmly between two plates
Sentence,s74,Radiation exposure is 4 to 24 mSv per standard two-view screening examination
Sentence,s75,Validation by analysis of age in both groups shows no significant difference
Sentence,s76,"Based on solid evidence, screening mammography may lead to the following harms:"
Sentence,s77,Cancers diagnosed at entry in both study and control groups were included
Sentence,s78,Cluster randomization sometimes led to imbalances between the intervention and control groups
Sentence,s79,Statistical Modeling of Breast Cancer Incidence and Mortality in the United States
Sentence,s80,"Therefore, even with a specificity of 90%, most abnormal mammograms are false-positives"
Sentence,s81,"Intervention: Initial two-view MMG, then single-view MMG every 18 months × 4"
Sentence,s82,"The testing is often accomplished over many months, which may cause anxiety"
Sentence,s83,"Latency is at least 8 years, and the increased risk is lifelong"
Sentence,s84,"The HR for survival of the symptomatic women was 0.79 (95% CI, 0.63–0.99)"
Sentence,s85,Both views should include breast tissue from the nipple to the pectoral muscle
Sentence,s86,Compliance: Nonattenders to first screening (35% of the screened population) were not reinvited
Sentence,s87,Cause of death attribution: Determined by a team of local physicians (see Ostergotland)
Sentence,s88,"Relative risk of breast cancer death, screening versus control (95% CI): 0.83 (0.66–1.04)"
Sentence,s89,"The Hispanic women had higher body mass index, higher parity, and earlier pregnancies"
Sentence,s90,"Contrast-enhancing foci are seen frequently in healthy breasts, so false-positive results are common"
Sentence,s91,"Relative risk of breast cancer death, screening versus control (95% CI): 1.02 (0.78–1.33)"
Sentence,s92,"Thus, the detection and treatment of nonpalpable DCIS often represents overdiagnosis and overtreatment"
Sentence,s93,"Relative risk of breast cancer death, screening versus control (95% CI): 0.80 (0.53–1.22)"
Sentence,s94,"Of these 12, there will probably be only one or two lives extended"
Sentence,s95,"Cause of death attribution: 76% autopsy rate in early report, lower rate later"
Sentence,s96,Several models estimate an individual woman's risk based on these and other factors
Sentence,s97,"Initially 100%, decreased to 85.4% by screen five in the CBE only group"
Sentence,s98,"Relative risk of breast cancer death, screening versus control (95% CI): 0.84 (0.63–1.12)"
Sentence,s99,"The remaining 21 to 34 abnormal screens will be true-positives, indicating breast cancer"
Sentence,s100,"First, Leningrad investigators cluster-randomized more than 100,000 women to BSE training or control"
Sentence,s101,It does not provide formal guidelines or recommendations for making health care decisions
Sentence,s102,"Relative risk of breast cancer death, screening versus control (95% CI): 0.68 (0.52–0.89)"
Sentence,s103,Black women older than 65 years are less likely to undergo mammogram screening
Sentence,s104,Breast cancer risk is affected by many factors besides participation in screening activities
Sentence,s105,The major predictors of radiation risk are young age at exposure and dose
Sentence,s106,"Generally, CAD systems increase sensitivity and decrease specificity and increase detection of DCIS"
Sentence,s107,"Mammography Facility Surveys, Mammography Equipment Evaluations, and Medical Physicist Qualification Requirement under MQSA"
Sentence,s108,Expert-reviewed information summary about tests used to detect or screen for breast cancer
Sentence,s109,Inclusion of these data in the Swedish meta-analysis resolves many of these questions
Sentence,s110,"Some cancers, particularly those associated with BRCA 1/2 mutations, masquerade as benign tumors"
Sentence,s111,Nine women developed invasive breast cancer and four women died of the disease
Sentence,s112,"Relative risk of breast cancer death, screening versus control (95% CI): 0.81 (0.62–1.07)"
Sentence,s113,(Refer to the Randomized controlled trials section of this summary for more information.)
Sentence,s114,"Relative risk of breast cancer death, screening versus control (95% CI): 0.97 (0.74–1.27)"
Sentence,s115,"Study Design : Descriptive population-based comparisons, autopsy series, and series of mammary reduction specimens"
Sentence,s116,"If specificity is low, many false-positive examinations result in unnecessary follow-up examinations and procedures"
Sentence,s117,Baseline breast cancer incidence and mortality were comparable between the randomly assigned geographic clusters
Sentence,s118,"Length bias: Mammography detects a cancer while it is preclinical, and preclinical durations vary"
Sentence,s119,A study of California Medicare beneficiaries aged 65 to 79 years demonstrated this clearly
Sentence,s120,The number of extended lives attributable to mammographic detection is between two and six
Sentence,s121,Twenty women developed breast neoplasms (13 invasive and 7 ductal carcinoma in situ [DCIS])
Sentence,s122,"Relative risk of breast cancer death, screening versus control (95% CI): 0.82 (0.64–1.05) Ostergotland"
Sentence,s123,Performance of both technologies has been compared directly in several trials yielding similar results
Sentence,s124,No corresponding decline in incidence in women older than 69 years was ever seen
Sentence,s125,Several observational population-based comparisons consider breast cancer incidence before and after adoption of screening
Sentence,s126,"In 5 years, 311,082 screening examinations were done by SFM and 56,518 by FFDM"
Sentence,s127,"Randomization: Geographic cluster, with stratification for residence (urban or rural), socioeconomic factors and size"
Sentence,s128,"Randomization: Cluster by physician practices, though many randomization assignments were changed after study start"
Sentence,s129,The prevalence of cancer in women who died of noncancer causes is surprisingly high
Sentence,s130,"Compliance: Initially 100%, decreased to 86.7% by screen five in the MMG and CBE group"
Sentence,s131,Contamination: 25% of women entering the study had MMG in the 3 years before entry
Sentence,s132,Women with breast symptoms are not candidates for screening because they require a diagnostic evaluation
Sentence,s133,The natural history of DCIS is poorly understood because nearly all DCIS cases are treated
Sentence,s134,"Thus, fewer than 1 of 6 women diagnosed with breast cancer die of the disease"
Sentence,s135,The two Malmo trials MMST I and MMST II have been combined for most analyses
Sentence,s136,"Sample size: 30,000 to 31,092 in study group and 30,565 to 30,765 in control group"
Sentence,s137,"By comparison, about 72,330 American women are estimated to die of lung cancer in 2014"
Sentence,s138,If this was prior to the study period then she was excluded from the analysis
Sentence,s139,Large differences in socioeconomic status between practices were not recognized until after the study end
Sentence,s140,"The moderate- and high-risk groups had higher recurrence rates, and they benefited from postlumpectomy radiation"
Sentence,s141,"Nipple aspirate fluid was obtained from 417 women, but only 111 (27%) were adequate samples"
Sentence,s142,There were also differences in the methodology used to analyze the results of these trials
Sentence,s143,The single RCT comparing high-quality CBE to screening mammography showed equivalent benefit for both modalities
Sentence,s144,"Additional testing was performed in 66% of these women, including invasive procedures performed in 27%"
Sentence,s145,There is no evidence for performing screening mammography in average-risk women younger than 40 years
Sentence,s146,"The likelihood decreases for follow-up examinations, ranging from 1 to 3 cancers per 1,000 screens"
Sentence,s147,Attempts to define low-risk DCIS cases that can be managed with less therapies are important
Sentence,s148,Discomfort with the ductal lavage procedure was judged by participants to be comparable to mammography
Sentence,s149,Breast MRI is more sensitive but less specific than screening mammography and is more expensive
Sentence,s150,Clinical breast examination and breast self-exam have also been evaluated but are of uncertain benefit
Sentence,s151,"For women of all ages, high breast density is associated with 10% to 29% lower sensitivity"
Sentence,s152,"Most cases are diagnosed during the evaluation of palpable lesions, which are generally easy to detect"
Sentence,s153,Individuals at Increased Risk of Breast Cancer and Thus Possibly With More to Gain From Screening
Sentence,s154,"However, this study largely agrees with some similar analyses from other countries (see studies discussed above)"
Sentence,s155,Comments: This is the only trial specifically designed to study women aged 40 to 49 years
Sentence,s156,"Predictors of more advanced stage at diagnosis included Hispanic race (odds ratio, 2.12) and younger age"
Sentence,s157,These differences are associated with socioeconomic status and may reflect lack of participation in screening activities
Sentence,s158,"Randomization: Individual, within each birth year cohort for the first phase, MMG screening trial (MMST I)"
Sentence,s159,There are also many other places to get materials and information about cancer treatment and services
Sentence,s160,"Cause of death attribution: From the National Health Service (NHS) central register, death certificate code accepted"
Sentence,s161,Similar findings suggestive of overdiagnosis have been reported from the United Kingdom and the United States
Sentence,s162,"Unfortunately, the populations may differ in time, geography, culture, and the use of postmenopausal hormone therapy"
Sentence,s163,Analysis: Follow-up method intention-to-treat (though all women aged 50 years would be offered screening by NHS)
Sentence,s164,Breast cancer is most often diagnosed by pathologic review of a fixed specimen of breast tissue
Sentence,s165,"Cause of death attribution: Death certificates, with review of questionable cases by a blinded review panel"
Sentence,s166,(Refer to the PDQ summaries on Cancer Prevention Overview and Breast Cancer Prevention for more information.)
Sentence,s167,"For all these potential harms of screening mammography, internal validity, consistency and external validity are good"
Sentence,s168,"Because this population is small, there are no studies to confirm the benefit of this recommendation"
Sentence,s169,"The Swedish meta-analysis excluded all women with a prior breast cancer diagnosis, regardless of group assignment"
Sentence,s170,Computed radiography (CR) utilizes a cassette-based removable detector and external reading device to generate a digital image
Sentence,s171,"Overall however, there were 86 more women excluded from the intervention group than from the control group"
Sentence,s172,"Although a correction factor was used in the final analysis, this may not adjust the analysis sufficiently"
Sentence,s173,Updated statistics with estimated new cases and deaths for 2014 (cited American Cancer Society as reference 1)
Sentence,s174,The participation rate of study women was 74% for the first round and 70% for subsequent rounds
Sentence,s175,"Radiologist performance is critical to assessing mammographic interpretive performance, yet there is substantial, well-documented variability among radiologists"
Sentence,s176,"The corresponding numbers and percentages for nipple aspiration fluid were 16 (6%), 8 (3%), and 1 (&lt;1%)"
Sentence,s177,No randomized trials of clinical breast examination (CBE) as a sole screening modality have yet been reported
Sentence,s178,"Among regular users of mammography, however, cancer was diagnosed in black and white women at similar stages"
Sentence,s179,Overdiagnosed disease is a neoplasm that would never become clinically apparent without screening before a patient’s death
Sentence,s180,"For routine screening in the United States, examinations are taken in both mediolateral oblique and craniocaudal projections"
Sentence,s181,The group that received BSE training had more breast biopsies but no improvements in breast cancer mortality
Sentence,s182,Various methods to analyze breast tissue for malignancy have been proposed as screening methods for breast cancer
Sentence,s183,The trials are described in detail in the Appendix of Randomized Controlled Trials section of this summary
Sentence,s184,Such compression spreads out overlapping tissues and reduces the amount of radiation needed to image the breast
Sentence,s185,"A total of 383 ductal lavage samples were evaluated, 299 (78%) of which were adequate for diagnosis"
Sentence,s186,Cause of death attribution: Linked to Swedish Cause of Death Registry; also used an independent endpoint committee
Sentence,s187,Investigators also differ in their calculation of overdiagnosis as they adjust for characteristics such as lead-time bias
Sentence,s188,"A large concurrent cohort study compared 254,758 FFDM screens with 487,334 SFM screens and 74,190 CR screens"
Sentence,s189,"However, breast cancer cases and deaths were adjudicated by a Swedish panel that included the trial's investigators"
Sentence,s190,Breast cancer incidence rates increase at the initiation of screening without a compensatory drop in later years
Sentence,s191,"In a separate study, adjuvant tamoxifen therapy was shown to reduce the incidence of invasive breast cancer"
Sentence,s192,Factors that influence radiologists’ performance include their level of experience and the volume of mammograms they interpret
Sentence,s193,"Importantly, cancer detection was lower for CR at 3.4 per 1,000, adjusted OR 0.79 (95% CI, 0.68–0.93)"
Sentence,s194,Compression of the breast is important during a mammogram to reduce motion artifact and improve image quality
Sentence,s195,"Breast cancer incidence and mortality risk also vary according to geography, culture, race, ethnicity, and socioeconomic status"
Sentence,s196,Magnitude of Effect : The current evidence is insufficient to assess the additional benefits and harms of CBE
Sentence,s197,The cumulative biopsy rate (the rate of true-positives) due to mammographic findings was approximately 1 in 4 (23.6%)
Sentence,s198,"Sample size: Variably reported, ranging from 38,405 to 39,034 in study and from 37,145 to 37,936 in control"
Sentence,s199,"Intervention: Initially, two-view MMG and CBE; then annual CBE, with single-view MMG in years 3, 5, and 7"
Sentence,s200,The second study considered an 11-year period comparing seven counties with screening programs to five counties without them
Sentence,s201,"Of all breast cancers detected by screening mammograms, up to 54% are estimated to be results of overdiagnosis"
Sentence,s202,Exclusions: A similar proportion of women were excluded from both groups for prior breast cancer diagnosis (1.2% each)
Sentence,s203,Digital mammography is more expensive than screen-film mammography (SFM) but is more amenable to data storage and sharing
Sentence,s204,"Because of the rarity of the disease, it is extremely unlikely that any screening modality would be useful"
Sentence,s205,"Understanding and quantifying these risks is important to a woman, to her physicians, and to public policy makers"
Sentence,s206,"Sample size: Variably reported, ranging from 38,562 to 39,051 in intervention and from 18,478 to 18,846 in control"
Sentence,s207,"Comments: No reduction for women aged 50 to 54 years, but similar reductions for other 5-year age groups"
Sentence,s208,"Unfortunately, these attempts could not ensure a lack of knowledge of women’s assignments to screening or control arms"
Sentence,s209,"A meta-analysis comparing digital mammography with film mammography included 10 studies and involved 82,573 women who underwent both types"
Sentence,s210,The meta-analysis (follow-up methods) of the four Swedish trials also showed a small but significant improvement of all-cause mortality
Sentence,s211,A major limitation of this and other ecologic studies is the failure to account for actual exposure to screening
Sentence,s212,"There is often a trade-off between sensitivity and specificity, such that higher sensitivity may be associated with lower specificity"
Sentence,s213,CAD systems are designed to help radiologists read mammograms by highlighting suspicious regions such as clustered microcalcifications and masses
Sentence,s214,"Fellowship training in breast imaging may lead to improved cancer detection, but it is associated with higher false-positive rates"
Sentence,s215,"Despite these considerations, many women with poor life expectancy due to age or health status often undergo screening mammography"
Sentence,s216,"Three population-based, observational studies from Sweden compared breast cancer mortality in the presence and absence of screening mammography programs"
Sentence,s217,The study design and conduct make these results difficult to assess or combine with the results of other trials
Sentence,s218,The breast dose associated with a typical two-view mammogram is approximately 4 mSv and extremely unlikely to cause cancer
Sentence,s219,"Contamination: Screening MMG was not available outside the trial, but frequency of CBE performance among control women is unknown"
Sentence,s220,The breast tissue can be obtained from a symptomatic area or from an area identified by an imaging test
Sentence,s221,"Individual for the entire birth cohort 1933 to 1945 for MMST II, but with variations imposed by limited resources"
Sentence,s222,Control: Control group received one screening exam approximately 3 to 8 months after the final screen in study group
Sentence,s223,"Randomization: Individuals from lists of general practitioners in geographically defined areas of England, Wales, and Scotland; allocation was concealed"
Sentence,s224,Comments: Evaluation analysis required a correction factor for the delay in the performance of MMG in the control group
Sentence,s225,"Screening for breast cancer does not affect overall mortality, and the absolute benefit for breast cancer mortality is small"
Sentence,s226,"Comments: The MMGs were of poor quality compared with those of later trials, because of outdated equipment and techniques"
Sentence,s227,Healthy volunteer bias: The screened population may be the healthiest and/or the most health-conscious women in the general population
Sentence,s228,"In particular, the breast cancer mortality-focused, randomized, controlled trials used single screening intervals with little variability across the trials"
Sentence,s229,"Control: Those who were not invited received usual medical care, unaware of their participation, and few screened prior to randomization"
Sentence,s230,"Overall, the biggest risk factor for having a false-positive mammogram was the individual radiologist’s tendency to read mammograms as abnormal"
Sentence,s231,False-positive rates vary significantly between facilities performing diagnostic mammography and are higher at facilities where concern about malpractice is high
Sentence,s232,"By design, controls did not have regular clinic visits, so the prestudy cancer status of control patients was not determined"
Sentence,s233,"Menopausal hormone use, obesity, lack of physical activity, and alcohol intake are associated with an increased risk of breast cancer"
Sentence,s234,"Exclusions: Women with pre-existing breast cancer were excluded from both groups, but the numbers are reported differently in different publications"
Sentence,s235,Two prior studies of noncontemporaneous cohorts showed no difference between CR and SFM or higher cancer detection rate from CR
Sentence,s236,"The recall rate was higher in the FFDM group, but there was no difference in detection of invasive breast cancer"
Sentence,s237,One study reported results of nipple aspiration followed by ductal lavage in 507 women at high risk for breast cancer
Sentence,s238,Performance benchmarks for screening mammography in the United States are described on the Breast Cancer Surveillance Consortium (BCSC) Web site
Sentence,s239,These findings are interesting but probably not relevant to women with screen-detected DCIS in an era of improved cancer care
Sentence,s240,Exclusions: More women (338) with pre-existing breast cancer were excluded from the intervention group than from the control group (177)
Sentence,s241,"Other trials used a ""follow-up"" analysis, which counts all deaths attributed to breast cancer, regardless of the time of diagnosis"
Sentence,s242,Population-based studies could demonstrate the extent of overdiagnosis if the screened and nonscreened populations were the same except for screening
Sentence,s243,One study in 11 rural Swedish counties showed a persistent increase in breast cancer incidence following the advent of screening
