Type,ID,Description
Sentence,s244,"Thermographic devices have been approved by the FDA under the 510(k) process, which does not require evidence of clinical effectiveness"
Sentence,s245,Both breast cancer incidence and mortality are lower among Hispanic and Asian/Pacific Islander women than among white and black women
Sentence,s246,"Thus, method of cancer detection is a powerful predictor of patient outcome, which is useful for prognostication and treatment decisions"
Sentence,s247,"As a consequence, the magnitude of overdiagnosis due to mammographic screening is controversial, with estimates ranging from 0% to 54%"
Sentence,s248,"While screening mammography may yield cancer diagnoses in approximately 1% of elderly women, many of these cancers are low risk"
Sentence,s249,"Mammography is the most widely used screening modality, with solid evidence of benefit for women aged 40 to 74 years"
Sentence,s250,"Contamination: 13% of women in the Two-County trial had MMG as part of routine care, mostly between 1983 and 1984"
Sentence,s251,"Technologies such as ultrasound, magnetic resonance imaging, tomosynthesis, and molecular breast imaging are being evaluated, usually as adjuncts to mammography"
Sentence,s252,"Most of the reduction in breast cancer mortality, the authors concluded, was probably because of improved treatment rather than screening"
Sentence,s253,"In addition, a longer interval since the last mammogram increases sensitivity, recall rate, and cancer detection rate and decreases specificity"
Sentence,s254,"Contamination: 13% of women in the Two-County trial had MMG as part of routine care, mostly in 1983 and 1984"
Sentence,s255,Screening biennially from age 50 to 69 years achieved a median 16.5% reduction in breast cancer deaths versus no screening
Sentence,s256,Women in the screening group were excluded based on determinations made during the study period at their initial screening visits
Sentence,s257,Interval cancers are cancers that are diagnosed in the interval after a normal screening examination and before the subsequent screen
Sentence,s258,"CBE, lasting 5 to 10 minutes per breast, was conducted by trained health professionals, with periodic evaluations of performance quality"
Sentence,s259,"The sensitivity of mammography is the percentage of breast cancers detected in a given population, when breast cancer is present"
Sentence,s260,"Sample size: Declined from 40,318 to 38,525 in intervention group and rose from 19,943 to 20,978 in control, between published reports"
Sentence,s261,"Comments: There are concerns about randomization, especially in the second subtrial, about exclusions, and about the delay in control group MMG"
Sentence,s262,"Several studies, however, show that the anxiety following evaluation of a false-positive test leads to increased participation in future screening examinations"
Sentence,s263,Another large study noted an increase in recall rate and increased DCIS detection but no improvement in invasive cancer detection rate
Sentence,s264,"Positive predictive value (PPV), which is the proportion of cancers detected per abnormal examination, was estimated to be 3% to 4%"
Sentence,s265,"If a ""normal"" mammogram dissuades or postpones a woman or her doctor from evaluating breast symptoms, she may suffer adverse consequences"
Sentence,s266,"When controlled for age, nodal status, and tumor size, screen-detected cancers had a lower risk of relapse and better overall survival"
Sentence,s267,There was higher detection of ductal carcinoma in situ (DCIS) in the FFDM group related to increased detection of clustered microcalcifications
Sentence,s268,Development of breast cancer after treatment of DCIS depends on the characteristics of the lesion but also on the delivered treatment
Sentence,s269,Socioeconomic differences between study and control groups probably account for the higher all-cause mortality in control women compared with screened women
Sentence,s270,The findings of this study are also consistent with the evidence that some screen-detected cancers are low risk and represent overdiagnosis
Sentence,s271,"Ductal carcinoma in situ (DCIS) is a noninvasive condition that can evolve to invasive cancer, with variable frequency and time course"
Sentence,s272,"In 2009, CISNET modelers addressed several questions related to the harms and benefits of mammography, including comparing annual versus biennial screening"
Sentence,s273,"Comments: This trial is unique in that it compares one screening modality to another, and does not include an unscreened control"
Sentence,s274,"In these studies, MRI specificities range from 37% to 97%, with threefold to fivefold higher recall rates and substantially lower PPVs"
Sentence,s275,"Within each practice, there was inconsistent recruitment of women, according to the physician’s judgment about each woman’s suitability for the trial"
Sentence,s276,Radiologists in academic settings have a higher positive predictive value (PPV) of their recommendations to undergo biopsy than do community radiologists
Sentence,s277,"By comparison, a single chest computed tomography (CT) scan delivers 7 mSv and an abdominal CT scan delivers 12 to 20 mSv"
Sentence,s278,"Monthly breast self-examination (BSE) has been promoted, but there is no solid evidence that it is effective in reducing breast cancer mortality"
Sentence,s279,Evidence of possible misclassification of breast cancer deaths in the Two-County Trial with possible bias in favor of screening has been analyzed
Sentence,s280,One study of 576 women with interval cancers reported that interval cancers are more prevalent in women aged 40 to 49 years
Sentence,s281,(Refer to the subsection on Harms in the Screening With Mammography section of the Overview section of this summary for more information.)
Sentence,s282,Small cohort studies do not suggest any additional benefit for the use of thermography as an adjunct modality for breast cancer screening
Sentence,s283,Breast self-examination (BSE) has been compared to usual care (no screening activity) but has not been shown to reduce breast cancer mortality
Sentence,s284,"Among breast cancer cases diagnosed from 2001 to 2007, 61% of white women and only 51% of black women had localized disease"
Sentence,s285,"Although several trials also show better cancer-related survival in screened versus nonscreened women, a number of important biases may explain that finding:"
Sentence,s286,(Refer to the Ductal Carcinoma In Situ section in the Breast Cancer Diagnosis and Pathology section of this summary for more information.)
Sentence,s287,"Relative risk of breast cancer death, screening versus control (95% CI): Aged 39 to 59 years: 0.79 (0.58–1.08) [evaluation]; 0.77 (0.60–1.00) [follow-up]"
Sentence,s288,"Although no such incremental decrease in breast cancer mortality was observed after the introduction of screening, their assumption makes their conclusion weak"
Sentence,s289,"Mammography screening may be effective in reducing breast cancer mortality in certain populations, but it can pose harm to women who participate"
Sentence,s290,"Of the 500 abnormal screens, 466 to 479 will be false-positives, and 100 to 200 of these women will undergo invasive procedures"
Sentence,s291,"Although age-adjusted breast cancer incidence rates are higher in white women than in black women, mortality rates are higher in black women"
Sentence,s292,International comparisons of screening mammography have found higher specificity in countries with more highly centralized screening systems and national quality assurance programs
Sentence,s293,"Because large numbers of women have false-positive tests, the issue of psychological distress—which may be provoked by the additional testing—has been studied"
Sentence,s294,"As a general rule, interval cancers have characteristics of rapid growth and are frequently of advanced stage at the time of discovery/diagnosis"
Sentence,s295,"Ecologic studies are difficult to interpret because of this type of potential uncontrolled confounding, as well as these types of unfair comparisons"
Sentence,s296,"The study was small in terms of number of deaths, with low power to discriminate breast cancer mortality between the two groups"
Sentence,s297,"Based on solid evidence, formal instruction and encouragement to perform BSE leads to more breast biopsies and diagnosis of more benign breast lesions"
Sentence,s298,"Another expression of this analysis is that one life may be extended per 1,700 to 5,000 women screened and followed for 15 years"
Sentence,s299,"Such women might have end-stage renal disease, severe dementia, terminal cancer, or severe comorbid disease with functional dependencies in activities of daily living"
Sentence,s300,"A palpable lesion can be biopsied with core needle biopsy or, less often, fine-needle aspiration biopsy or surgical excision; image guidance improves accuracy"
Sentence,s301,Achieving balance between the benefits and harms of screening is especially important for women with a life expectancy of 5 years or less
Sentence,s302,Intervention: Three single-view MMGs every 2 years for women younger than 50 years and every 33 months for women 50 years and older
Sentence,s303,"Magnitude of Effect : Varies with patient age, tumor type, and grade, and is greater with the first screen than subsequent screening examinations"
Sentence,s304,There have been no randomized trials of thermography to evaluate the impact on breast cancer mortality or the ability to detect breast cancer
Sentence,s305,"Among community clinicians, screening CBE has higher specificity (97%–99%) and lower sensitivity (22%–36%) compared with examiners in clinical trials of breast cancer screening"
Sentence,s306,Subsequent analyses found the size and stage of the cancers detected mammographically in this trial to be equivalent to those of other trials
Sentence,s307,A prospective United Kingdom trial randomly assigned women aged 50 to 62 years to receive mammograms annually or at the standard 3-year interval
Sentence,s308,"The accessibility of the data for international audits and verification also varies, with formal audit having been undertaken only in the Canadian trials"
Sentence,s309,"The primary role of ultrasound is the diagnostic evaluation of palpable or mammographically identified masses, rather than serving as a primary screening modality"
Sentence,s310,"Screening mammography and magnetic resonance imaging can identify early-stage cancers in these women, but the benefits and risks have not been clearly defined"
Sentence,s311,"Some of these cancers were present at the time of mammography (false-negatives), and others grew rapidly in the interval between mammography and detection"
Sentence,s312,"Contamination: 24% of all control women had at least one MMG, as did 35% of the control women aged 45 to 49 years"
Sentence,s313,Nonpalpable lesions can be sampled by core needle biopsy using stereotactic x-ray or ultrasound guidance or can be surgically excised after image-guided localization
Sentence,s314,"Currently, cancers that will cause illness and/or death cannot be confidently distinguished from those that will remain occult, so all cancers are treated"
Sentence,s315,"A 10-year follow-up study of 1,983 Finnish women with invasive breast cancer demonstrated that the method of cancer detection is an independent prognostic variable"
Sentence,s316,"A third study compared the outcomes of 5,604 English women with screen-detected cancers to those with symptomatic breast cancers diagnosed between 1998 and 2003"
Sentence,s317,"Among Hispanic women, there was no difference according to income, but all the Hispanic groups were at or below the lowest white income level"
Sentence,s318,Analyses that do not adjust for important patient characteristics may falsely conclude that there is more facility variation in overall accuracy than actually exists
Sentence,s319,Males account for 1% of breast cancer cases and breast cancer deaths (refer to the Special Populations section of this summary for more information)
Sentence,s320,"Thus, for women aged 40 to 49 years, it is estimated that one or two lives may be extended per 5,000 to 10,000 mammograms"
Sentence,s321,No differences in breast cancer detection were observed (AUC 0.78 +/- 0.02 for digital and AUC 0.74 +/- 0.02 for film; P = .18)
Sentence,s322,This type of analysis was used in a meta-analysis of four of the five Swedish trials in response to concerns about the evaluation analyses
Sentence,s323,"Assuming an average sensitivity of 80%, mammograms will miss approximately 20% of the breast cancers that are present at the time of screening (false-negatives)"
Sentence,s324,Intervention: Three single-view MMGs every 2 years for women younger than 50 years and every 33 months for women aged 50 years and older
Sentence,s325,"During a 10-year period, 16% of 2,400 women aged 40 to 69 years sought medical attention for breast symptoms at their health maintenance organization"
Sentence,s326,Food and Drug Administration (FDA) to ensure the use of standardized training for personnel and a standardized mammography technique utilizing a low radiation dose
Sentence,s327,"Several explanations for these findings have been proposed, including lower socioeconomic status, lower level of education, and less access to screening and treatment services"
Sentence,s328,"For women younger than 50 years, all studies found sensitivity higher for digital mammography but specificity either the same or higher for film mammography"
Sentence,s329,"In particular, mucinous, lobular, and rapidly growing cancers can be missed because their appearance on x-rays is similar to that of normal breast tissue"
Sentence,s330,"Magnitude of Effect : Theoretically, annual mammograms in women aged 40 to 80 years may cause up to one breast cancer per 1,000 women"
Sentence,s331,Direct comparisons of breast MRI and mammography in young high-risk women report MRI sensitivities of 71% to100% versus mammography sensitivities of 20% to 50%
Sentence,s332,"When all-cause mortality in these trials was examined retrospectively, only the Edinburgh Trial showed a significant difference, which could be attributed to socioeconomic differences"
Sentence,s333,Overall sensitivity is approximately 79% but is lower in younger women and in those with dense breast tissue (see the BCSC Web site )
Sentence,s334,"Comments: Concerns were raised about the randomization methodology and the evaluation analysis, which required a correction for late performance of the control group MMG"
Sentence,s335,"In part to account for the effects of treatment, the third study was a detailed analysis by county and concluded little impact of screening"
Sentence,s336,"Numerous uncontrolled trials and retrospective series have documented the ability of mammography to diagnose small, early-stage breast cancers, which have a favorable clinical course"
Sentence,s337,"Exclusions: In a Swedish meta-analysis, there were 393 women with pre-existing breast cancer excluded from the intervention group, and 412 from the control group"
Sentence,s338,"Relative risk of breast cancer death, screening versus control (95% confidence interval [CI]): 0.71 (0.55–0.93) at 10 years and 0.77 (0.61–0.97) at 15 years"
Sentence,s339,A sizable proportion of patients with advanced cancer continue to undergo cancer screening tests that do not have a meaningful likelihood of providing benefit
Sentence,s340,"Age differences have been identified in several trials, although the differences were probably too small to have a major effect on the trial outcome"
Sentence,s341,"Screening for breast cancer has been recommended for women exposed to therapeutic radiation to the chest, especially if they were exposed at an early age"
Sentence,s342,"Breast cancer mortality is the major outcome parameter for each of these trials, so the methods used to determine cause of death are critically important"
Sentence,s343,A U.S. ecologic analysis conducted between 1976 and 2008 examined the incidence of early-stage versus late-stage breast cancer for women aged 40 years and older
Sentence,s344,"To find a screening effect, the authors compared the magnitude of increase in early-stage cancer with the magnitude of an expected decrease in late-stage cancer"
Sentence,s345,The authors suggested that improvements in breast cancer treatment and/or health care organizations were more likely responsible for the reduction in mortality than was screening
Sentence,s346,"Obese women have more than a 20% increased risk of having false-positive mammography results compared with underweight and normal weight women, although sensitivity is unchanged"
Sentence,s347,"Abnormal cells were found in 92 (24%) ductal lavage samples, including 88 (17%) with mild atypia, 23 (6%) with marked atypia, and 1 (&lt;1%) malignant"
Sentence,s348,"On screening, the following Breast Imaging, Reporting and Data System (BI-RADS) assessments are used: 1, negative; 2, benign; or 0, incomplete with additional evaluation needed"
Sentence,s349,"In the setting of normal mammography and ultrasonography, less than 3% of women who have a lump will ultimately be found to have breast cancer"
Sentence,s350,"Annual screening with magnetic resonance imaging has been proposed in such women, beginning 8 years after treatment or by age 25 years, whichever is later"
Sentence,s351,Major concerns about trial performance are the validity of the initial randomization and the differential exclusion of women with a prior history of breast cancer
Sentence,s352,Hormone therapy is associated with increased breast density and is associated not only with lower sensitivity but also with an increased rate of interval cancers
Sentence,s353,A way to view the potential benefit of breast cancer screening is to estimate the number of lives extended because of early breast cancer detection
Sentence,s354,"Thus, it may be estimated that up to one breast cancer may be induced per 1,000 women aged 40 to 80 years undergoing annual mammograms"
Sentence,s355,"Several studies have shown that the method of cancer detection is a powerful predictor of patient outcome, which is useful for prognostication and treatment decisions"
Sentence,s356,"Screening mammography in women older than 65 years often results in additional diagnostic testing in 85 per 1,000 women, with cancer diagnosed in 9 women"
Sentence,s357,"After controlling for tumor size, nodal status, grade, and patient age, researchers found that the women with screen-detected cancers fared better than their symptomatic counterparts"
Sentence,s358,"Because the extent of these biases is never clear in any particular study, most groups rely on randomized controlled trials to assess the benefits of screening"
Sentence,s359,One large population-based study comparing recall rates and breast cancer detection rates before and after the introduction of CAD systems found no change in either rate
Sentence,s360,"Again, the cancer detection rate was not different between FFDM (4.9 per 1,000) and SFM (4.8 per 1,000), although the recall rate was higher for FFDM"
Sentence,s361,Conclusions: Delay in the performance of MMG in the control group and unequal numbers of women in invited and control groups (complex randomization process) complicates interpretation
Sentence,s362,Two-view examinations are associated with a lower recall rate than are single-view examinations because they eliminate concern about abnormalities due to superimposition of normal breast structures
Sentence,s363,"Breast cancer incidence overall was 4.4%, including 11 cases of DCIS and 93 cases of invasive cancer, and was associated with abnormal nipple aspirate fluid cytology"
Sentence,s364,"Nipple aspirate fluid cytology was studied in 2,701 women who were monitored for subsequent incidence of breast cancer, with an average of 12.7 years of follow-up"
Sentence,s365,"The investigators found that each country had experienced a reduction in breast cancer mortality, with no difference between matched pairs that could be attributed to screening"
Sentence,s366,"Random periareolar fine-needle aspirates were performed in 480 women at high risk for breast cancer, and the women were monitored for a median of 45 months"
Sentence,s367,"Even though breast cancer is the most common noncutaneous cancer in women, fewer than 5 per 1,000 women actually have the disease when they are screened"
Sentence,s368,"The low-risk group, comprising a third of the cases, experienced only 1% DCIS recurrences and no invasive cancers, independent of the use of postoperative radiation therapy"
Sentence,s369,"Thus, it is not possible to assess the efficacy of CBE as a screening modality when it is used alone versus usual care (no screening activity)"
Sentence,s370,"During that period, one-third of the women had an abnormal mammogram result that required additional testing, including 539 additional mammograms, 186 ultrasound examinations, and 188 biopsies"
Sentence,s371,"For 25,620 women aged 40 to 49 years who were examined only at entry, the estimated sensitivity was 71%, specificity was 84%, and PPV was 1.5%"
Sentence,s372,"While the numbers discussed above are from a single mammography exam, women undergo screening throughout their lifetimes, which can include 20 to 30 years of screening activity"
Sentence,s373,"After controlling for patient and radiologist characteristics, screening mammography interpretive performance (specificity, PPV, area under the curve [AUC]) varies by facility and is associated with facility-level characteristics"
Sentence,s374,"The likelihood of diagnosing cancer is highest with the prevalent (first) screening examination, ranging from 9 to 26 cancers per 1,000 screens, depending on the woman’s age"
Sentence,s375,"Initiating biennial screening at age 40 years (vs. age 50 years) reduced breast cancer mortality by an additional 3%, consumed more resources, and yielded more false-positive results"
Sentence,s376,"Using infrared imaging techniques, thermography of the breast identifies temperature changes in the skin as an indicator of an underlying tumor, displaying these changes in color patterns"
Sentence,s377,"The study women were older than the control women, P &lt; .0001, but this should not have had a major effect on the outcome of the trial"
Sentence,s378,These models gave reductions in breast cancer mortality similar to those expected in the circumstances of the RCTs but updated to the use of modern adjuvant therapy
Sentence,s379,"Note: Separate PDQ summaries on Breast Cancer Prevention , Breast Cancer Treatment , Male Breast Cancer Treatment , and Breast Cancer Treatment and Pregnancy are also available"
Sentence,s380,Exclusions: Small (n = 30 in invited group and n = 51 in not invited group) number excluded in each group because could not locate or deceased
Sentence,s381,"Strategies have been proposed to improve mammographic sensitivity by altering diet, timing mammograms with menstrual cycles, interrupting hormone therapy before the examination, or using digital mammography machines"
Sentence,s382,"Breast cancer stage at diagnosis in San Diego County, California, was more advanced for Hispanic women than for white women, especially for those younger than 50 years"
Sentence,s383,"Screening women in their 80s and 90s should be performed on a case-by-case basis, with comorbid diseases and life expectancy taken into consideration when making this decision"
Sentence,s384,"For example, if a model’s output agrees with RCT outcomes for annual screening, then it has greater credibility in comparing the relative effectiveness of biennial versus annual screening"
Sentence,s385,"Screen-detected cancers were more likely to have tubular histology; to be smaller, low stage, and hormone sensitive; and to have a major component of ductal carcinoma in situ"
Sentence,s386,"However, a subsequent study comparing Nijmegen breast cancer mortality rates with neighboring Arnhem in the Netherlands, which had no screening program, showed no difference in breast cancer mortality"
Sentence,s387,"To determine the number of screen-detected cancers that are overdiagnosed, one can compare breast cancer incidence over time in a screened population with that of an unscreened population"
Sentence,s388,"In particular, the detection of a low-risk malignancy would probably result in a recommendation for treatment, which could impair rather than improve quality of life, without improving survival"
Sentence,s389,"As shown in Table 1, a 60-year-old woman has a higher risk of being diagnosed with breast cancer in the next 10 years than does a 40-year-old woman"
Sentence,s390,"In New Mexico, a population-based case-control study examined the reproductive histories of 719 Hispanic and 836 white breast cancer patients, with half of each group having breast cancer"
Sentence,s391,"Interval cancers appearing within 12 months of a negative screening mammogram appear to be related to decreased mammographic sensitivity, attributable to greater breast density in 68% of cases"
Sentence,s392,There were two subtrials with balanced randomization in the first and a significant imbalance in the second with 508 more women in the screened group than the control
Sentence,s393,"Second, in the U.K. Trial of Early Detection of Breast Cancer, two districts invited more than 63,500 women aged 45 to 64 years to educational sessions about BSE"
Sentence,s394,Overdiagnosis bias: An extreme form of length bias; screening may find cancers that are very slow growing and would never have become manifest clinically in the woman’s lifetime
Sentence,s395,"In a random-effects model, there was no statistically significant difference in cancer detection between the two types of mammography (AUC 0.92 for film and AUC 0.91 for digital)"
Sentence,s396,"When results were recalculated in the Swedish meta-analysis, using data from the Swedish Cause of Death Registry, there was less benefit for screening than had been previously reported"
Sentence,s397,"In the United States, the mean glandular dose for screening mammography is 1 to 2 mSv per view or 2 mSv to 4 mSv per standard two-view exam"
Sentence,s398,Digital mammography was better at cancer detection for women younger than 50 years (AUC 0.84 +/- 0.03 for digital; AUC 0.69 +/- 0.05 for film; P = .002)
Sentence,s399,"Randomized controlled trials (RCTs), with participation by nearly half a million women from four countries, examined the breast cancer mortality rates of women who were offered regular screening"
Sentence,s400,"Of the breast symptoms prompting medical attention, a mass was most likely to lead to a cancer diagnosis (10.7%) and pain was least likely (1.8%) to do so"
Sentence,s401,"This difference in methodology has the potential for a substantial bias in comparing breast cancer mortality between the two groups, and this bias is likely to favor screening"
Sentence,s402,"One author estimated the outcomes of 10,000 women aged 50 to 70 years who undergo a single screen. Mammograms will be normal (true-negatives and false-negatives) in 9,500 women"
Sentence,s403,"In Nijmegen, the Netherlands, where a population-based screening program was undertaken in 1975, a case-cohort study showed that screened women have decreased mortality (odds ratio [OR] = 0.48)"
Sentence,s404,The specificity of mammography (refer to the Breast Cancer Screening Concepts section of this summary for more information) affects the number of additional interventions due to false-positive results
Sentence,s405,This trial and NBSS-2 differ from the other RCTs in the consistent use of adjuvant hormone and chemotherapy following local breast cancer therapy in women with axillary node-positive disease
Sentence,s406,"The primary deficiency identified by this review was the use of the mediolateral view from 1980 to 1985 instead of the mediolateral oblique view, which was used after 1985"
Sentence,s407,"About 2% of women screened will be recommended for short-interval follow-up, assessed as BI-RADS 3, probably benign, with fewer than 2% of such women ultimately found to have cancer"
Sentence,s408,"For example, among women with advanced cancer compared with controls, at least 1 screening mammogram was received by 8.9% (95% confidence interval [CI], 8.6%–9.1%) versus 22.0% (95% CI, 21.7%–22.5%)"
Sentence,s409,"A “perfect” screening test would identify approximately 10% of “normal” women as having breast cancer, even though most of those cancers would probably not result in illness or death"
Sentence,s410,"The best evidence indicates that most DCIS lesions will not evolve to invasive cancer and that those that do can still usually be managed successfully, even after that transition"
Sentence,s411,A community-based case-control study of screening as practiced in excellent U.S. health care systems between 1983 and 1998 found no association between previous screening and reduced breast cancer mortality
Sentence,s412,"Women with a personal history of invasive breast cancer, DCIS, or lobular carcinoma in situ also have an increased risk of being diagnosed with a new primary breast cancer"
Sentence,s413,"A large cohort of women (n = 42,760) who underwent both digital and film mammography was evaluated at 33 U.S. centers in the Digital Mammographic Imaging Screening Trial (DMIST)"
Sentence,s414,Delay in diagnosis of breast cancer is the most common cause of medical malpractice litigation and half of the cases resulting in payment to the claimant involve false-negative mammograms
Sentence,s415,Those appearing within a 24-month interval appear to be related both to decreased mammographic sensitivity due to greater breast density in 37.6% and to rapid tumor growth in 30.6%
Sentence,s416,"A Finnish study of 14,765 women aged 40 to 49 years assigned women born in even-numbered years to annual screens and women born in odd-numbered years to triennial screens"
Sentence,s417,"Comparisons across counties showed similar reductions in decreased breast cancer mortality regardless of when the counties’ screening programs were initiated; however, the authors carried out no formal cross-county analyses"
Sentence,s418,"Randomization: Individual, but with significant imbalances in the distribution of women between assigned arms, as evidenced by menopausal status ( P &lt; .0001) and education ( P = .05)"
Sentence,s419,"Survival in black women may be worse than in white women at least in part because of a higher frequency of adverse histologic features, such as a triple-negative phenotype"
Sentence,s420,"In an overview of seven autopsy studies, the median prevalence of occult invasive breast cancer was 1.3% (range, 0%–1.8%) and of ductal carcinoma in situ was 8.9% (range, 0%–14.7%)"
Sentence,s421,"To make these adjustments, the authors made uncertain assumptions about the effects of other factors on incidence, and made no mention of the effects of changing treatment over time"
Sentence,s422,"Population-based studies demonstrate that, compared with other groups, Medicaid recipients and uninsured patients of all races have later-stage breast cancer diagnosis, and survival from the time of diagnosis is shorter"
Sentence,s423,"The trials differed in design, recruitment of participants, interventions (both screening and treatment), management of the control group, compliance with assignment to screening and control groups, and analysis of outcomes"
Sentence,s424,"Women with abnormal screening mammograms undergo additional mammographic imaging to magnify the area of concern, ultrasound, magnetic resonance imaging, and tissue sampling (by fine-needle aspiration, core biopsy, or excisional biopsy)"
Sentence,s425,All of these studies are designed to study breast cancer mortality rather than all-cause mortality because of the infrequency of breast cancer deaths relative to the total number of deaths
Sentence,s426,"Early cancer detection and prompt treatment are unlikely to reduce morbidity or mortality within a woman's 5 years of expected survival, but the negative consequences of screening will occur immediately"
